tenant,base_url,career_path,full_url,is_career_page
integrations.avature.net,https://integrations.avature.net,/careers,https://integrations.avature.net/careers,True
integrations.avature.net,https://integrations.avature.net,/jobs,https://integrations.avature.net/jobs,True
integrations.avature.net,https://integrations.avature.net,/talent,https://integrations.avature.net/talent,True
integrations.avature.net,https://integrations.avature.net,/recruiting,https://integrations.avature.net/recruiting,True
integrations.avature.net,https://integrations.avature.net,/talentcommunity,https://integrations.avature.net/talentcommunity,True
smtp1.avature.net,https://smtp1.avature.net,/careers,https://smtp1.avature.net/careers,True
smtp1.avature.net,https://smtp1.avature.net,/jobs,https://smtp1.avature.net/jobs,True
smtp1.avature.net,https://smtp1.avature.net,/talent,https://smtp1.avature.net/talent,True
smtp1.avature.net,https://smtp1.avature.net,/recruiting,https://smtp1.avature.net/recruiting,True
smtp1.avature.net,https://smtp1.avature.net,/talentcommunity,https://smtp1.avature.net/talentcommunity,True
mobiletrust2.avature.net,https://mobiletrust2.avature.net,/careers,https://mobiletrust2.avature.net/careers,True
mobiletrust2.avature.net,https://mobiletrust2.avature.net,/jobs,https://mobiletrust2.avature.net/jobs,True
mobiletrust2.avature.net,https://mobiletrust2.avature.net,/talent,https://mobiletrust2.avature.net/talent,True
mobiletrust2.avature.net,https://mobiletrust2.avature.net,/recruiting,https://mobiletrust2.avature.net/recruiting,True
mobiletrust2.avature.net,https://mobiletrust2.avature.net,/talentcommunity,https://mobiletrust2.avature.net/talentcommunity,True
chcm2-clientcertificate-qasiemens.avature.net,https://chcm2-clientcertificate-qasiemens.avature.net,/careers,https://chcm2-clientcertificate-qasiemens.avature.net/careers,True
chcm2-clientcertificate-qasiemens.avature.net,https://chcm2-clientcertificate-qasiemens.avature.net,/jobs,https://chcm2-clientcertificate-qasiemens.avature.net/jobs,True
chcm2-clientcertificate-qasiemens.avature.net,https://chcm2-clientcertificate-qasiemens.avature.net,/talent,https://chcm2-clientcertificate-qasiemens.avature.net/talent,True
chcm2-clientcertificate-qasiemens.avature.net,https://chcm2-clientcertificate-qasiemens.avature.net,/recruiting,https://chcm2-clientcertificate-qasiemens.avature.net/recruiting,True
chcm2-clientcertificate-qasiemens.avature.net,https://chcm2-clientcertificate-qasiemens.avature.net,/talentcommunity,https://chcm2-clientcertificate-qasiemens.avature.net/talentcommunity,True
sandboxnuffield-clientcertificate.avature.net,https://sandboxnuffield-clientcertificate.avature.net,/careers,https://sandboxnuffield-clientcertificate.avature.net/careers,True
sandboxnuffield-clientcertificate.avature.net,https://sandboxnuffield-clientcertificate.avature.net,/jobs,https://sandboxnuffield-clientcertificate.avature.net/jobs,True
sandboxnuffield-clientcertificate.avature.net,https://sandboxnuffield-clientcertificate.avature.net,/talent,https://sandboxnuffield-clientcertificate.avature.net/talent,True
sandboxnuffield-clientcertificate.avature.net,https://sandboxnuffield-clientcertificate.avature.net,/recruiting,https://sandboxnuffield-clientcertificate.avature.net/recruiting,True
sandboxnuffield-clientcertificate.avature.net,https://sandboxnuffield-clientcertificate.avature.net,/talentcommunity,https://sandboxnuffield-clientcertificate.avature.net/talentcommunity,True
chcm2-clientcertificate-siemens.avature.net,https://chcm2-clientcertificate-siemens.avature.net,/careers,https://chcm2-clientcertificate-siemens.avature.net/careers,True
chcm2-clientcertificate-siemens.avature.net,https://chcm2-clientcertificate-siemens.avature.net,/jobs,https://chcm2-clientcertificate-siemens.avature.net/jobs,True
